question,entities_for_tables,entities_for_columns,query,tables,entities
"Which department has more than 1 head at a time? List the id, name and the number of heads.",['department'],"['id', 'name', 'head', 'number of heads']","SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1","['department', 'management']","['department', 'id', 'name', 'head', 'number of heads']"
Which head's name has the substring 'Ha'? List the id and name.,['head'],"['id', 'name']","SELECT head_id ,  name FROM head WHERE name LIKE '%Ha%'",['head'],"['head', 'id', 'name']"
How many farms are there?,['farms'],['count'],SELECT count(*) FROM farm,['farm'],"['farms', 'count']"
Count the number of farms.,['farms'],"['number', 'count']",SELECT count(*) FROM farm,['farm'],"['farms', 'number', 'count']"
List the total number of horses on farms in ascending order.,['farms'],"['horses', 'total number']",SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC,['farm'],"['farms', 'horses', 'total number']"
"What is the total horses record for each farm, sorted ascending?",['farm'],"['horses', 'record', 'total']",SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC,['farm'],"['farm', 'horses', 'record', 'total']"
"What are the hosts of competitions whose theme is not ""Aliens""?","['competitions', 'hosts']","['theme', 'Aliens']",SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens',['farm_competition'],"['competitions', 'hosts', 'theme', 'Aliens']"
Return the hosts of competitions for which the theme is not Aliens?,['competitions'],"['hosts', 'theme']",SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens',['farm_competition'],"['competitions', 'hosts', 'theme']"
What are the themes of farm competitions sorted by year in ascending order?,['farm competitions'],"['themes', 'year']",SELECT Theme FROM farm_competition ORDER BY YEAR ASC,['farm_competition'],"['farm competitions', 'themes', 'year']"
"Return the themes of farm competitions, sorted by year ascending.",['farm competitions'],"['themes', 'year']",SELECT Theme FROM farm_competition ORDER BY YEAR ASC,['farm_competition'],"['farm competitions', 'themes', 'year']"
What is the average number of working horses of farms with more than 5000 total number of horses?,['farms'],"['working horses', 'total number of horses']",SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000,['farm'],"['farms', 'working horses', 'total number of horses']"
Give the average number of working horses on farms with more than 5000 total horses.,"['farms', 'horses']","['working horses', 'total horses', 'average']",SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000,['farm'],"['farms', 'horses', 'working horses', 'total horses', 'average']"
What are the maximum and minimum number of cows across all farms.,['farms'],"['cows', 'maximum', 'minimum']","SELECT max(Cows) ,  min(Cows) FROM farm",['farm'],"['farms', 'cows', 'maximum', 'minimum']"
Return the maximum and minimum number of cows across all farms.,['farms'],"['cows', 'number of cows']","SELECT max(Cows) ,  min(Cows) FROM farm",['farm'],"['farms', 'cows', 'number of cows']"
How many different statuses do cities have?,['cities'],['statuses'],SELECT count(DISTINCT Status) FROM city,['city'],"['cities', 'statuses']"
Count the number of different statuses.,[],['status'],SELECT count(DISTINCT Status) FROM city,['city'],['status']
List official names of cities in descending order of population.,['cities'],"['official names', 'population']",SELECT Official_Name FROM city ORDER BY Population DESC,['city'],"['cities', 'official names', 'population']"
"What are the official names of cities, ordered descending by population?",['cities'],"['official names', 'population']",SELECT Official_Name FROM city ORDER BY Population DESC,['city'],"['cities', 'official names', 'population']"
List the official name and status of the city with the largest population.,['city'],"['official name', 'status', 'population']","SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1",['city'],"['city', 'official name', 'status', 'population']"
What is the official name and status of the city with the most residents?,['city'],"['official name', 'status', 'residents']","SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1",['city'],"['city', 'official name', 'status', 'residents']"
Show the years and the official names of the host cities of competitions.,"['competitions', 'host cities']","['years', 'official names']","SELECT T2.Year ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID","['city', 'farm_competition']","['competitions', 'host cities', 'years', 'official names']"
Give the years and official names of the cities of each competition.,"['competition', 'cities']","['years', 'official names', 'cities']","SELECT T2.Year ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID","['city', 'farm_competition']","['competition', 'cities', 'years', 'official names', 'cities']"
Show the official names of the cities that have hosted more than one competition.,"['cities', 'competitions']","['official names', 'hosted']",SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,"['city', 'farm_competition']","['cities', 'competitions', 'official names', 'hosted']"
What are the official names of cities that have hosted more than one competition?,"['cities', 'competitions']","['official names', 'hosted']",SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,"['city', 'farm_competition']","['cities', 'competitions', 'official names', 'hosted']"
Show the status of the city that has hosted the greatest number of competitions.,"['city', 'competitions']","['status', 'number']",SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1,"['city', 'farm_competition']","['city', 'competitions', 'status', 'number']"
What is the status of the city that has hosted the most competitions?,"['city', 'competitions']","['status', 'hosted']",SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1,"['city', 'farm_competition']","['city', 'competitions', 'status', 'hosted']"
Please show the themes of competitions with host cities having populations larger than 1000.,['competitions'],"['themes', 'host cities', 'populations']",SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,"['city', 'farm_competition']","['competitions', 'themes', 'host cities', 'populations']"
What are the themes of competitions that have corresponding host cities with more than 1000 residents?,"['competitions', 'cities']","['themes', 'host cities', 'residents']",SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,"['city', 'farm_competition']","['competitions', 'cities', 'themes', 'host cities', 'residents']"
Please show the different statuses of cities and the average population of cities with each status.,['cities'],"['statuses', 'population']","SELECT Status ,  avg(Population) FROM city GROUP BY Status",['city'],"['cities', 'statuses', 'population']"
What are the statuses and average populations of each city?,['city'],"['status', 'population']","SELECT Status ,  avg(Population) FROM city GROUP BY Status",['city'],"['city', 'status', 'population']"
"Please show the different statuses, ordered by the number of cities that have each.",['cities'],"['statuses', 'number of cities']",SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,['city'],"['cities', 'statuses', 'number of cities']"
"Return the different statuses of cities, ascending by frequency.",['cities'],['statuses'],SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,['city'],"['cities', 'statuses']"
List the most common type of Status across cities.,['cities'],"['Status', 'type']",SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1,['city'],"['cities', 'Status', 'type']"
What is the most common status across all cities?,['cities'],['status'],SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1,['city'],"['cities', 'status']"
List the official names of cities that have not held any competition.,"['cities', 'competition']",['official names'],SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),"['city', 'farm_competition']","['cities', 'competition', 'official names']"
What are the official names of cities that have not hosted a farm competition?,"['cities', 'farm competition']",['official names'],SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),"['city', 'farm_competition']","['cities', 'farm competition', 'official names']"
Show the status shared by cities with population bigger than 1500 and smaller than 500.,['cities'],"['status', 'population']",SELECT Status FROM city WHERE Population  >  1500 INTERSECT SELECT Status FROM city WHERE Population  <  500,['city'],"['cities', 'status', 'population']"
Which statuses correspond to both cities that have a population over 1500 and cities that have a population lower than 500?,['cities'],"['statuses', 'population']",SELECT Status FROM city WHERE Population  >  1500 INTERSECT SELECT Status FROM city WHERE Population  <  500,['city'],"['cities', 'statuses', 'population']"
Find the official names of cities with population bigger than 1500 or smaller than 500.,['cities'],"['official names', 'population']",SELECT Official_Name FROM city WHERE Population  >  1500 OR Population  <  500,['city'],"['cities', 'official names', 'population']"
What are the official names of cities that have population over 1500 or less than 500?,['cities'],"['official names', 'population']",SELECT Official_Name FROM city WHERE Population  >  1500 OR Population  <  500,['city'],"['cities', 'official names', 'population']"
"Show the census ranking of cities whose status are not ""Village"".",['cities'],"['census ranking', 'status']","SELECT Census_Ranking FROM city WHERE Status !=  ""Village""",['city'],"['cities', 'census ranking', 'status']"
"What are the census rankings of cities that do not have the status ""Village""?",['cities'],"['census rankings', 'status']","SELECT Census_Ranking FROM city WHERE Status !=  ""Village""",['city'],"['cities', 'census rankings', 'status']"
which course has most number of registered students?,"['course', 'students']","['registered', 'number']",SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY count(*) DESC LIMIT 1,"['student_course_registrations', 'courses']","['course', 'students', 'registered', 'number']"
What is the name of the course with the most registered students?,"['course', 'students']","['name', 'registered students']",SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY count(*) DESC LIMIT 1,"['student_course_registrations', 'courses']","['course', 'students', 'name', 'registered students']"
what is id of students who registered some courses but the least number of courses in these students?,"['students', 'courses']","['id', 'registered']",SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY count(*) LIMIT 1,['student_course_registrations'],"['students', 'courses', 'id', 'registered']"
What are the ids of the students who registered for some courses but had the least number of courses for all students?,"['students', 'courses']","['ids', 'number of courses']",SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY count(*) LIMIT 1,['student_course_registrations'],"['students', 'courses', 'ids', 'number of courses']"
what are the first name and last name of all candidates?,['candidates'],"['first name', 'last name']","SELECT T2.first_name ,  T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id","['candidates', 'people']","['candidates', 'first name', 'last name']"
What are the first and last names of all the candidates?,['candidates'],"['first names', 'last names']","SELECT T2.first_name ,  T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id","['candidates', 'people']","['candidates', 'first names', 'last names']"
List the id of students who never attends courses?,"['students', 'courses']","['id', 'attends']",SELECT student_id FROM students WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),"['student_course_attendance', 'students']","['students', 'courses', 'id', 'attends']"
What are the  ids of every student who has never attended a course?,"['student', 'course']","['ids', 'attended']",SELECT student_id FROM students WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),"['student_course_attendance', 'students']","['student', 'course', 'ids', 'attended']"
List the id of students who attended some courses?,"['students', 'courses']",['id'],SELECT student_id FROM student_course_attendance,['student_course_attendance'],"['students', 'courses', 'id']"
What are the ids of all students who have attended at least one course?,"['students', 'courses']","['ids', 'attended']",SELECT student_id FROM student_course_attendance,['student_course_attendance'],"['students', 'courses', 'ids', 'attended']"
What are the ids of all students for courses and what are the names of those courses?,"['students', 'courses']","['ids', 'names']","SELECT T1.student_id ,  T2.course_name FROM student_course_registrations AS T1 JOIN courses AS T2 ON T1.course_id = T2.course_id","['student_course_registrations', 'courses']","['students', 'courses', 'ids', 'names']"
What is detail of the student who most recently registered course?,"['student', 'course']","['detail', 'registered']",SELECT T2.student_details FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id ORDER BY T1.registration_date DESC LIMIT 1,"['students', 'student_course_registrations']","['student', 'course', 'detail', 'registered']"
What details do we have on the students who registered for courses most recently?,"['students', 'courses']","['details', 'registered']",SELECT T2.student_details FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id ORDER BY T1.registration_date DESC LIMIT 1,"['students', 'student_course_registrations']","['students', 'courses', 'details', 'registered']"
How many students attend course English?,"['students', 'course']",['English'],"SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""English""","['student_course_attendance', 'courses']","['students', 'course', 'English']"
How many students are attending English courses?,"['students', 'courses']",['English'],"SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""English""","['student_course_attendance', 'courses']","['students', 'courses', 'English']"
How many courses do the student whose id is 171 attend?,"['courses', 'student']",['id'],SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 171,"['student_course_attendance', 'courses']","['courses', 'student', 'id']"
How many courses does the student with id 171 actually attend?,"['student', 'courses']","['id', 'attend']",SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 171,"['student_course_attendance', 'courses']","['student', 'courses', 'id', 'attend']"
Find id of the candidate whose email is stanley.monahan@example.org?,['candidate'],"['id', 'email']","SELECT T2.candidate_id FROM people AS T1 JOIN candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.email_address = ""stanley.monahan@example.org""","['candidates', 'people']","['candidate', 'id', 'email']"
What is the id of the candidate whose email is stanley.monahan@example.org?,['candidate'],"['id', 'email']","SELECT T2.candidate_id FROM people AS T1 JOIN candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.email_address = ""stanley.monahan@example.org""","['candidates', 'people']","['candidate', 'id', 'email']"
Find id of the candidate who most recently accessed the course?,"['candidate', 'course']","['id', 'accessed']",SELECT candidate_id FROM candidate_assessments ORDER BY assessment_date DESC LIMIT 1,['candidate_assessments'],"['candidate', 'course', 'id', 'accessed']"
What is the id of the candidate who most recently accessed the course?,"['candidate', 'course']","['id', 'accessed']",SELECT candidate_id FROM candidate_assessments ORDER BY assessment_date DESC LIMIT 1,['candidate_assessments'],"['candidate', 'course', 'id', 'accessed']"
What is detail of the student who registered the most number of courses?,"['student', 'courses']","['detail', 'registered']",SELECT T1.student_details FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1,"['students', 'student_course_registrations']","['student', 'courses', 'detail', 'registered']"
What are the details of the student who registered for the most number of courses?,"['student', 'courses']","['details', 'registered']",SELECT T1.student_details FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1,"['students', 'student_course_registrations']","['student', 'courses', 'details', 'registered']"
List the id of students who registered some courses and the number of their registered courses?,"['students', 'courses']","['id', 'registered courses']","SELECT T1.student_id ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id","['students', 'student_course_registrations']","['students', 'courses', 'id', 'registered courses']"
"For every student who is registered for some course, how many courses are they registered for?","['student', 'course']",['registered'],"SELECT T1.student_id ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id","['students', 'student_course_registrations']","['student', 'course', 'registered']"
How many registed students do each course have? List course name and the number of their registered students?,"['students', 'courses']","['course name', 'number of registered students']","SELECT T3.course_name ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T2.course_id","['students', 'student_course_registrations', 'courses']","['students', 'courses', 'course name', 'number of registered students']"
"For each course id, how many students are registered and what are the course names?","['courses', 'students']","['course id', 'course names', 'students registered']","SELECT T3.course_name ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T2.course_id","['students', 'student_course_registrations', 'courses']","['courses', 'students', 'course id', 'course names', 'students registered']"
"Find id of candidates whose assessment code is ""Pass""?",['candidates'],"['id', 'assessment code']","SELECT candidate_id FROM candidate_assessments WHERE asessment_outcome_code = ""Pass""",['candidate_assessments'],"['candidates', 'id', 'assessment code']"
What are the ids of the candidates that have an outcome code of Pass?,['candidates'],"['ids', 'outcome code']","SELECT candidate_id FROM candidate_assessments WHERE asessment_outcome_code = ""Pass""",['candidate_assessments'],"['candidates', 'ids', 'outcome code']"
"Find the cell mobile number of the candidates whose assessment code is ""Fail""?",['candidates'],"['cell mobile number', 'assessment code']","SELECT T3.cell_mobile_number FROM candidates AS T1 JOIN candidate_assessments AS T2 ON T1.candidate_id = T2.candidate_id JOIN people AS T3 ON T1.candidate_id = T3.person_id WHERE T2.asessment_outcome_code = ""Fail""","['candidates', 'candidate_assessments', 'people']","['candidates', 'cell mobile number', 'assessment code']"
"What are the cell phone numbers of the candidates that received an assessment code of ""Fail""?",['candidates'],"['cell phone numbers', 'assessment code']","SELECT T3.cell_mobile_number FROM candidates AS T1 JOIN candidate_assessments AS T2 ON T1.candidate_id = T2.candidate_id JOIN people AS T3 ON T1.candidate_id = T3.person_id WHERE T2.asessment_outcome_code = ""Fail""","['candidates', 'candidate_assessments', 'people']","['candidates', 'cell phone numbers', 'assessment code']"
What are the id of students who registered course 301?,['students'],"['id', 'course']",SELECT student_id FROM student_course_attendance WHERE course_id  =  301,['student_course_attendance'],"['students', 'id', 'course']"
What are the ids of the students who registered for course 301?,"['students', 'courses']","['ids', 'course']",SELECT student_id FROM student_course_attendance WHERE course_id  =  301,['student_course_attendance'],"['students', 'courses', 'ids', 'course']"
What is the id of the student who most recently registered course 301?,"['student', 'course']","['id', 'registered']",SELECT student_id FROM student_course_attendance WHERE course_id = 301 ORDER BY date_of_attendance DESC LIMIT 1,['student_course_attendance'],"['student', 'course', 'id', 'registered']"
What are the ids of the students who registered for course 301 most recently?,['students'],"['ids', 'course', 'registered']",SELECT student_id FROM student_course_attendance WHERE course_id = 301 ORDER BY date_of_attendance DESC LIMIT 1,['student_course_attendance'],"['students', 'ids', 'course', 'registered']"
Find distinct cities of addresses of people?,"['addresses', 'people']",['cities'],SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id,"['addresses', 'people_addresses']","['addresses', 'people', 'cities']"
What are the different cities where people live?,['people'],['cities'],SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id,"['addresses', 'people_addresses']","['people', 'cities']"
Find distinct cities of address of students?,"['students', 'address']",['cities'],SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id JOIN students AS T3 ON T2.person_id = T3.student_id,"['students', 'addresses', 'people_addresses']","['students', 'address', 'cities']"
What are the different cities where students live?,['students'],['cities'],SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id JOIN students AS T3 ON T2.person_id = T3.student_id,"['students', 'addresses', 'people_addresses']","['students', 'cities']"
List the names of courses in alphabetical order?,['courses'],['names'],SELECT course_name FROM courses ORDER BY course_name,['courses'],"['courses', 'names']"
What are the names of the courses in alphabetical order?,['courses'],['names'],SELECT course_name FROM courses ORDER BY course_name,['courses'],"['courses', 'names']"
List the first names of people in alphabetical order?,['people'],['first names'],SELECT first_name FROM people ORDER BY first_name,['people'],"['people', 'first names']"
What are the first names of the people in alphabetical order?,['people'],['first names'],SELECT first_name FROM people ORDER BY first_name,['people'],"['people', 'first names']"
What are the id of students who registered courses or attended courses?,"['students', 'courses']","['id', 'registered', 'attended']",SELECT student_id FROM student_course_registrations UNION SELECT student_id FROM student_course_attendance,"['student_course_attendance', 'student_course_registrations']","['students', 'courses', 'id', 'registered', 'attended']"
What are the ids of the students who either registered or attended a course?,"['students', 'courses']","['ids', 'registered', 'attended']",SELECT student_id FROM student_course_registrations UNION SELECT student_id FROM student_course_attendance,"['student_course_attendance', 'student_course_registrations']","['students', 'courses', 'ids', 'registered', 'attended']"
Find the id of courses which are registered or attended by student whose id is 121?,"['courses', 'student']","['id', 'registered', 'attended']",SELECT course_id FROM student_course_registrations WHERE student_id = 121 UNION SELECT course_id FROM student_course_attendance WHERE student_id = 121,"['student_course_attendance', 'student_course_registrations']","['courses', 'student', 'id', 'registered', 'attended']"
What are the ids of the courses that are registered or attended by the student whose id is 121?,"['courses', 'student']","['ids', 'id']",SELECT course_id FROM student_course_registrations WHERE student_id = 121 UNION SELECT course_id FROM student_course_attendance WHERE student_id = 121,"['student_course_attendance', 'student_course_registrations']","['courses', 'student', 'ids', 'id']"
What are all info of students who registered courses but not attended courses?,"['students', 'courses']","['info', 'registered', 'attended']",SELECT * FROM student_course_registrations WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),"['student_course_attendance', 'student_course_registrations']","['students', 'courses', 'info', 'registered', 'attended']"
What are all details of the students who registered but did not attend any course?,"['students', 'course']","['details', 'registered', 'attend']",SELECT * FROM student_course_registrations WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),"['student_course_attendance', 'student_course_registrations']","['students', 'course', 'details', 'registered', 'attend']"
List the id of students who registered course statistics in the order of registration date.,"['students', 'course']","['id', 'statistics', 'registration date']","SELECT T2.student_id FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.registration_date","['student_course_registrations', 'courses']","['students', 'course', 'id', 'statistics', 'registration date']"
What are the ids of the students who registered course statistics by order of registration date?,"['students', 'courses']","['ids', 'statistics', 'registration date']","SELECT T2.student_id FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.registration_date","['student_course_registrations', 'courses']","['students', 'courses', 'ids', 'statistics', 'registration date']"
List the id of students who attended  statistics courses in the order of attendance date.,"['students', 'courses', 'attendance']","['id', 'statistics', 'attendance date']","SELECT T2.student_id FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.date_of_attendance","['student_course_attendance', 'courses']","['students', 'courses', 'attendance', 'id', 'statistics', 'attendance date']"
What are the ids of the students who attended courses in the statistics department in order of attendance date.,"['students', 'courses', 'attendance']","['ids', 'statistics department', 'attendance date']","SELECT T2.student_id FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.date_of_attendance","['student_course_attendance', 'courses']","['students', 'courses', 'attendance', 'ids', 'statistics department', 'attendance date']"
Give me the dates when the max temperature was higher than 85.,['temperature'],"['dates', 'max temperature']",SELECT date FROM weather WHERE max_temperature_f  >  85,['weather'],"['temperature', 'dates', 'max temperature']"
What are the dates with a maximum temperature higher than 85?,['temperature'],"['dates', 'maximum temperature']",SELECT date FROM weather WHERE max_temperature_f  >  85,['weather'],"['temperature', 'dates', 'maximum temperature']"
What are the names of stations that have latitude lower than 37.5?,['stations'],"['names', 'latitude']",SELECT name FROM station WHERE lat  <  37.5,['station'],"['stations', 'names', 'latitude']"
What are the names of all stations with a latitude smaller than 37.5?,['stations'],"['names', 'latitude']",SELECT name FROM station WHERE lat  <  37.5,['station'],"['stations', 'names', 'latitude']"
"For each city, return the highest latitude among its stations.","['city', 'stations']",['latitude'],"SELECT city ,  max(lat) FROM station GROUP BY city",['station'],"['city', 'stations', 'latitude']"
"For each city, what is the highest latitude for its stations?","['stations', 'city']","['latitude', 'city']","SELECT city ,  max(lat) FROM station GROUP BY city",['station'],"['stations', 'city', 'latitude', 'city']"
Give me the start station and end station for the trips with the three oldest id.,['trips'],"['start station', 'end station', 'id']","SELECT start_station_name ,  end_station_name FROM trip ORDER BY id LIMIT 3",['trip'],"['trips', 'start station', 'end station', 'id']"
What is the station station and end station for the trips with the three smallest ids?,['trips'],"['station', 'end station', 'ids']","SELECT start_station_name ,  end_station_name FROM trip ORDER BY id LIMIT 3",['trip'],"['trips', 'station', 'end station', 'ids']"
What is the average latitude and longitude of stations located in San Jose city?,['stations'],"['latitude', 'longitude', 'city']","SELECT avg(lat) ,  avg(long) FROM station WHERE city  =  ""San Jose""",['station'],"['stations', 'latitude', 'longitude', 'city']"
